UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
1194,328,1194,866,Stokesley,Yorkshire and Humberside,821,1220,349,1234,£350k-£650k,542
1195,1230,1195,-35,Selston,East Midlands,1185,244,1192,1087,£350k-£650k,543
1196,1166,1196,30,Penyffordd,Wales,1003,1143,1234,291,less than £350k,534
1197,1151,1197,46,Coalville,East Midlands,1297,552,1006,819,less than £350k,535
1198,976,1198,222,Harefield,Greater London,335,1106,1033,1128,Over £650k,119
1199,891,1199,308,Little Paxton,East of England,629,1057,1103,897,£350k-£650k,544
1200,1215,1200,-15,Kiveton Park,Yorkshire and Humberside,972,150,1111,1336,less than £350k,536
1201,1308,1201,-107,West Bromwich (East),West Midlands,380,926,1317,821,less than £350k,537
1202,900,1202,302,Witton Gilbert,North East,1125,157,1012,1329,less than £350k,538
1203,945,1203,258,Redbridge,Greater London,946,1193,1056,578,Over £650k,120
1204,995,1204,209,Swavesey,East of England,1330,731,595,1033,£350k-£650k,545
1205,1185,1205,20,Yateley,South East,863,712,1150,966,£350k-£650k,546
1206,1190,1206,16,Walton,Yorkshire and Humberside,1221,313,724,1295,£350k-£650k,547
1207,1335,1207,-128,Coxhoe,North East,1114,100,1300,1186,less than £350k,539
1208,1341,1208,-133,Stilton,East of England,1367,912,647,836,£350k-£650k,548
1209,824,1209,385,Coalway,South West,726,1035,923,1058,£350k-£650k,549
1210,1189,1210,21,Skelmersdale,North West,1292,518,1222,600,less than £350k,540
1211,1291,1211,-80,New Rossington,Yorkshire and Humberside,1285,147,1335,880,less than £350k,541
1212,1102,1212,110,Southam,West Midlands,1088,1085,694,979,£350k-£650k,550
1213,1224,1213,-11,Newton (Bolsover),East Midlands,1130,683,896,1066,less than £350k,542
1214,1321,1214,-107,Stanford-le-Hope,East of England,1066,909,1003,854,£350k-£650k,551
1215,860,1215,355,Middleton Cheney,East Midlands,1031,1200,213,1279,£350k-£650k,552
1216,980,1215,235,Epping,East of England,1294,1044,802,650,Over £650k,121
1217,1038,1217,179,Brampton (Huntingdonshire),East of England,1314,1080,614,791,£350k-£650k,553
1218,1117,1218,101,Red Lodge,East of England,1322,209,1281,863,£350k-£650k,554
1219,1320,1219,-101,Corby,East Midlands,1370,316,1342,522,less than £350k,543
1220,1347,1220,-127,Berinsfield,South East,753,271,1366,1113,£350k-£650k,555
1221,766,1221,455,Cholsey,South East,446,1364,726,771,£350k-£650k,556
1222,998,1222,224,Fairfield Park,East of England,958,991,950,985,£350k-£650k,557
1223,585,1223,638,Flexbury,South West,363,919,893,1323,£350k-£650k,558
1224,591,1224,633,Shenley,East of England,1111,367,810,1318,Over £650k,122
1225,404,1225,821,Stamford Bridge,Yorkshire and Humberside,280,1342,655,1193,£350k-£650k,559
1226,1226,1226,0,North Walney,North West,316,716,1296,1155,less than £350k,544
1227,930,1227,297,Lakenheath,East of England,774,447,989,1330,£350k-£650k,560
1228,1233,1228,-5,Higher Folds,North West,1286,6,1369,1348,less than £350k,545
1229,1314,1229,-85,Cramlington,North East,1148,755,1318,413,less than £350k,546
1230,1077,1230,153,Uppingham,East Midlands,1372,1361,88,842,£350k-£650k,561
1231,1253,1231,-22,Whitefield,North West,1009,578,1117,1086,less than £350k,547
1232,1323,1232,-91,Anstey,East Midlands,1349,127,964,1297,£350k-£650k,562
1233,1285,1233,-52,Frimley,South East,374,1337,1290,384,£350k-£650k,563
1234,1087,1234,147,Kirkby,North West,1109,450,1300,816,less than £350k,548
1235,1148,1235,87,Tilbury,East of England,552,1226,1280,602,£350k-£650k,564
1236,1149,1236,87,Bracknell,South East,1067,1254,1279,100,£350k-£650k,565
1237,1195,1237,42,South Hetton,North East,907,46,1339,1365,less than £350k,549
1238,626,1238,612,Over,East of England,1339,803,376,1228,£350k-£650k,566
1239,1228,1239,11,Normanton,Yorkshire and Humberside,1118,704,1145,850,less than £350k,550
1240,1131,1240,109,Southwater,South East,843,923,1189,879,£350k-£650k,567
1241,1053,1241,188,Newbold Verdon,East Midlands,1315,658,571,1211,£350k-£650k,568
1242,1315,1242,-73,Cambourne,East of England,1289,633,1340,341,£350k-£650k,569
1243,1271,1243,-28,Gatley,North West,1041,612,1335,696,£350k-£650k,570
1244,1333,1244,-89,Radcliffe on Trent,East Midlands,1023,1316,1106,330,£350k-£650k,571
1245,1069,1245,176,Kearsley,North West,597,867,937,1281,less than £350k,551
1246,947,1246,299,Morton (South Kesteven),East Midlands,1354,855,472,1151,less than £350k,552
1247,1217,1247,30,Hatfield Peverel,East of England,1245,966,804,914,£350k-£650k,572
1248,1344,1248,-96,Markfield,East Midlands,1332,482,1050,986,£350k-£650k,573
1249,802,1249,447,Wootton (Bedford),East of England,1136,693,584,1302,£350k-£650k,574
1250,1330,1250,-80,Canvey Island,East of England,580,694,1368,939,£350k-£650k,575
1251,1299,1251,-48,Bingham,East Midlands,1338,690,916,913,£350k-£650k,576
1252,1122,1252,130,Narborough/Enderby,East Midlands,1154,1272,1000,455,£350k-£650k,577
1253,1363,1253,-110,New Waltham,Yorkshire and Humberside,893,817,1371,566,less than £350k,553
1254,713,1254,541,Yatton,South West,924,1300,458,1130,£350k-£650k,578
1255,1300,1255,-45,Waltham,Yorkshire and Humberside,789,736,1237,1005,less than £350k,554
1256,818,1256,438,Waterbeach,East of England,1352,1107,906,531,£350k-£650k,579
1257,1286,1257,-29,Crofton,Yorkshire and Humberside,1240,156,1178,1250,less than £350k,555
1258,1032,1258,226,Sutton (East Cambridgeshire),East of England,1348,921,657,987,£350k-£650k,580
1259,1147,1259,112,Stotfold,East of England,1004,869,1097,950,£350k-£650k,581
1260,1282,1260,-22,North Weald Bassett,East of England,1305,603,1006,967,Over £650k,123
1261,569,1261,692,Hamble-le-Rice,South East,139,1259,858,1326,£350k-£650k,582
1262,1127,1262,135,Marston Moretaine,East of England,1075,758,834,1197,£350k-£650k,583
1263,1103,1263,160,Wollaston,East Midlands,1298,1264,284,1037,£350k-£650k,584
1264,1167,1264,97,Syston,East Midlands,1365,522,717,1181,£350k-£650k,585
1265,1161,1265,104,Tadcaster,Yorkshire and Humberside,785,1352,592,973,£350k-£650k,586
1266,825,1266,441,Peacehaven,South East,159,1052,1358,1038,£350k-£650k,587
1267,682,1267,585,Longstanton,East of England,1337,643,807,1079,£350k-£650k,588
1268,1064,1268,204,Whetstone,East Midlands,1356,1125,1014,410,£350k-£650k,589
1269,951,1269,318,Featherstone (Wakefield),Yorkshire and Humberside,1262,759,1196,635,less than £350k,556
1270,1296,1270,-26,Northwood,East of England,883,1217,1128,683,Over £650k,124
1271,1221,1271,50,Ryhill,Yorkshire and Humberside,1216,80,1271,1292,less than £350k,557
1272,1340,1272,-68,Goldthorpe,Yorkshire and Humberside,1188,47,1362,1278,less than £350k,558
1273,978,1273,295,Walter's Ash,South East,446,1349,737,1105,Over £650k,125
1274,1204,1274,70,Dinas Powis,Wales,1106,947,1231,668,£350k-£650k,590
1275,925,1275,350,Hinton,East Midlands,1092,1052,537,1261,£350k-£650k,591
1276,1098,1276,178,Ormesby St Margaret,East of England,723,1306,1000,856,£350k-£650k,592
1277,1309,1277,-32,Keyworth,East Midlands,1331,774,996,873,£350k-£650k,593
1278,748,1278,530,Thrapston,East Midlands,930,1367,432,904,£350k-£650k,594
1279,1262,1279,17,Loughton,East of England,1105,667,1223,958,Over £650k,126
1280,1045,1279,234,Harlow,East of England,1114,1097,897,984,£350k-£650k,595
1281,1312,1281,-31,New Marske,North East,882,262,1190,1366,less than £350k,559
1282,1346,1282,-64,Sileby,East Midlands,1363,416,809,1258,less than £350k,560
1283,1317,1283,-34,Knebworth,East of England,1069,1356,1019,320,Over £650k,127
1284,841,1284,443,Sacriston,North East,1140,148,1283,1277,less than £350k,561
1285,795,1285,490,Rothwell,East Midlands,1361,588,444,1342,less than £350k,562
1286,934,1286,352,Frinton-on-Sea,East of England,387,1337,1267,643,£350k-£650k,596
1287,1011,1287,276,Mayland,East of England,800,1012,1224,955,£350k-£650k,597
1288,881,1288,407,Ludgershall (Wiltshire),South West,446,1203,714,1332,£350k-£650k,598
1289,1008,1289,281,Tibshelf,East Midlands,1107,887,1009,1078,less than £350k,563
1290,1302,1290,-12,Ruskington,East Midlands,1267,1119,940,744,less than £350k,564
1291,1365,1291,-74,Copmanthorpe,Yorkshire and Humberside,1223,895,1098,837,£350k-£650k,599
1292,871,1292,421,Kirkham,North West,1135,1160,888,947,less than £350k,565
1293,986,1293,307,Littleport,East of England,1026,1004,1113,959,£350k-£650k,600
1294,700,1294,594,Godmanchester,East of England,829,1365,328,1145,£350k-£650k,601
1295,1095,1295,200,Brentwood,East of England,1227,1152,1095,600,Over £650k,128
1296,436,1296,860,Stalbridge,South West,1030,1232,247,1360,£350k-£650k,602
1297,1009,1297,288,Barking and Dagenham,Greater London,795,1257,1204,737,£350k-£650k,603
1298,1349,1298,-51,Beddau,Wales,1176,505,1260,1032,less than £350k,566
1299,1242,1299,57,Widdrington Station,North East,824,319,1350,1255,less than £350k,567
1300,863,1300,437,Burtonwood,North West,1318,226,1070,1304,less than £350k,568
1301,1263,1301,38,Haxby,Yorkshire and Humberside,668,372,1333,1289,£350k-£650k,604
1302,,1302,1302,Watlington (King's Lynn and West Norfolk),East of England,1084,1210,747,1091,£350k-£650k,605
1303,1278,1303,25,Pencoed,Wales,273,1217,1203,1184,less than £350k,569
1304,1104,1304,200,Highley,West Midlands,1037,675,945,1297,less than £350k,570
1305,835,1305,470,Throckley,North East,1174,404,1182,1222,less than £350k,571
1306,1139,1306,167,Kippax,Yorkshire and Humberside,1244,772,922,1152,less than £350k,572
1307,1257,1307,50,Garforth,Yorkshire and Humberside,1228,1083,1200,624,£350k-£650k,606
1308,1175,1308,133,Messingham,Yorkshire and Humberside,1214,666,1044,1164,less than £350k,573
1309,1327,1309,-18,Chadwell St Mary,East of England,998,630,1212,1202,£350k-£650k,607
1310,878,1310,432,Melbourn,East of England,1257,764,575,1331,£350k-£650k,608
1311,1116,1311,195,Long Buckby,East Midlands,1266,1131,530,1216,£350k-£650k,609
1312,1037,1312,275,Leyland,North West,1165,1120,1206,687,less than £350k,574
1313,828,1313,485,Ampthill,East of England,842,1354,519,1201,£350k-£650k,610
1314,1216,1314,98,Balsall Common,West Midlands,1280,1111,994,819,£350k-£650k,611
1315,1276,1315,39,Welham Green,East of England,1170,388,1035,1340,Over £650k,129
1316,1264,1316,52,Hambleton (Wyre),North West,435,1015,1292,1171,less than £350k,575
1317,1237,1317,80,Bromham (Bedford),East of England,992,901,1025,1246,£350k-£650k,612
1318,1240,1318,78,Water Orton,West Midlands,754,1261,1208,884,£350k-£650k,613
1319,1265,1319,54,South Normanton,East Midlands,1149,1292,1116,593,less than £350k,576
1320,1290,1320,30,Scotter,East Midlands,1220,818,706,1313,less than £350k,577
1321,1209,1321,112,Llay,Wales,974,671,1308,1123,less than £350k,578
1322,1164,1322,158,Marchwood,South East,147,1346,1149,1239,£350k-£650k,614
1323,1212,1323,111,Cheadle Hulme,North West,589,975,1321,1152,£350k-£650k,615
1324,1359,1324,-35,Thornton (Wyre),North West,995,711,1326,1095,less than £350k,579
1325,1287,1325,38,Lower Stondon,East of England,832,1139,1197,1106,£350k-£650k,616
1326,995,1326,331,Colburn,Yorkshire and Humberside,906,891,1323,1046,less than £350k,580
1327,1179,1327,148,Ottershaw,South East,1094,1348,1073,667,Over £650k,130
1328,971,1328,357,Hilton (South Derbyshire),East Midlands,639,1276,1297,919,less than £350k,581
1329,973,1329,356,Rochford,East of England,1073,1267,767,1190,£350k-£650k,617
1330,1085,1330,245,Measham,East Midlands,1256,1146,739,1181,less than £350k,582
1331,1217,1331,114,Desborough,East Midlands,1362,1162,817,1031,less than £350k,583
1332,1200,1332,132,Castle Donington,East Midlands,1291,1339,520,1071,£350k-£650k,618
1333,1212,1333,121,Rhoose,Wales,529,1146,1213,1274,£350k-£650k,619
1334,1269,1334,65,Culcheth,North West,1283,716,1160,1116,£350k-£650k,620
1335,1372,1335,-37,Lightwater,South East,1099,753,1351,992,Over £650k,131
1336,1256,1336,80,Brayton,Yorkshire and Humberside,1159,819,1346,901,£350k-£650k,621
1337,1275,1337,62,Bulkington,West Midlands,1086,499,1273,1271,£350k-£650k,622
1338,1311,1338,27,North Baddesley,South East,961,787,1363,1080,£350k-£650k,623
1339,1152,1339,187,Haslington,North West,1219,1073,863,1237,less than £350k,584
1340,1268,1340,72,Irchester,East Midlands,1306,765,697,1358,£350k-£650k,624
1341,1316,1341,25,Seghill,North East,1194,194,1361,1315,less than £350k,585
1342,1370,1342,-28,Northampton (South Northamptonshire),East Midlands,1302,1291,1337,242,£350k-£650k,625
1343,1197,1343,146,Basildon,East of England,1167,1037,1366,715,£350k-£650k,626
1344,1351,1344,-7,Elton,North West,1351,266,1179,1349,less than £350k,586
1345,1369,1345,-24,Groby,East Midlands,1344,454,1154,1283,£350k-£650k,627
1346,1229,1346,117,Pyle,Wales,884,1244,985,1256,less than £350k,587
1347,1295,1347,52,Broughton (Flintshire),Wales,1071,1102,1087,1208,less than £350k,588
1348,876,1348,472,Loggerheads,West Midlands,1255,1032,826,1275,less than £350k,589
1349,1279,1349,70,Sawtry,East of England,1360,674,974,1291,£350k-£650k,628
1350,1326,1350,24,Kennington,South East,566,1312,1247,1147,£350k-£650k,629
1351,1335,1351,16,Great Glen,East Midlands,1366,1351,634,1016,£350k-£650k,630
1352,1343,1352,9,Wideopen,North East,1050,572,1304,1315,less than £350k,590
1353,1205,1353,148,Breaston,East Midlands,1111,1179,815,1334,£350k-£650k,631
1354,1259,1354,95,Potters Bar,East of England,1199,1298,1244,786,Over £650k,132
1355,1325,1355,30,Llanharry,Wales,1076,1331,1215,897,less than £350k,591
1356,1283,1356,73,Witchford,East of England,1346,1362,931,717,£350k-£650k,632
1357,1356,1357,1,Church Village,Wales,1184,696,1344,1206,less than £350k,592
1358,1289,1358,69,Bayston Hill,West Midlands,935,961,1302,1264,£350k-£650k,633
1359,1353,1359,6,Papworth Everard,East of England,1295,961,1211,1157,£350k-£650k,634
1360,1301,1360,59,Broughton Astley,East Midlands,1342,1224,1261,762,£350k-£650k,635
1361,1354,1361,7,Armthorpe,Yorkshire and Humberside,1296,432,1369,1248,less than £350k,593
1362,1251,1362,111,Thorpe Willoughby,Yorkshire and Humberside,1300,579,1253,1294,£350k-£650k,636
1363,1360,1363,3,Binley Woods,West Midlands,1264,567,1285,1299,£350k-£650k,637
1364,1241,1364,123,Freckleton,North West,1172,1297,1275,951,less than £350k,594
1365,1250,1365,115,Ruddington,East Midlands,1309,820,1077,1346,£350k-£650k,638
1366,1345,1366,21,Fleckney,East Midlands,1357,1135,948,1290,£350k-£650k,639
1367,1331,1367,36,Undy,Wales,987,1371,883,1187,£350k-£650k,640
1368,1293,1368,75,Girton,East of England,1327,1369,1045,783,Over £650k,133
1369,1244,1369,125,Cosby,East Midlands,1353,1152,923,1370,£350k-£650k,641
1370,1367,1370,3,Bar Hill,East of England,1319,703,1357,1287,£350k-£650k,642
1371,1291,1371,80,East Leake,East Midlands,1320,1366,1003,1104,£350k-£650k,643
1372,1366,1372,6,Cuffley,East of England,1229,1345,1354,1254,Over £650k,134
