ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
62,19,-43,n,Hawkhurst BUA,Hawkhurst,South East,19,446,800,48,11,£350k-£650k,13,y,,,7,Shildon,North East,438,less than £350k,,6,Shaftesbury,South West,11,,,,
37,20,-17,n,Lancaster BUASD,Lancaster,North West,20,94,862,143,37,less than £350k,5,y,,,8,Worsbrough,Yorkshire and Humberside,357,less than £350k,,7,Wallingford,South East,12,,,,
14,21,7,,Lewes BUA,Lewes,South East,21,87,829,13,337,Over £650k,3,,,,9,Moorends,Yorkshire and Humberside,1189,less than £350k,,8,Malmesbury,South West,14,,,,
156,22,-134,,Pershore BUASD,Pershore,West Midlands,22,353,585,139,32,£350k-£650k,14,,,,10,Partington,North West,962,less than £350k,,9,Sudbury,East of England,15,,,,
69,23,-46,,Barnstaple BUA,Barnstaple,South West,23,286,646,76,88,£350k-£650k,15,,,,,,,,,,10,Rye,South East,16,,,,
86,24,-62,,Winchester BUASD,Winchester,South East,24,121,998,146,22,Over £650k,4,,,,,,,,,,,,,,,,,
80,25,-55,,Deal BUA,Deal,South East,25,214,145,273,472,£350k-£650k,16,,,,,Architectural Beauty,Region,Overall individual Rank,Price Band,,,,,,,,,
21,26,5,,Frome BUA,Frome,South West,26,215,297,126,460,£350k-£650k,17,,,,1,Bath,South West,1,Over £650k,,,,,,,,,
57,27,-30,,Great Yarmouth BUASD,Great Yarmouth,East of England,27,46,479,97,623,less than £350k,6,,,,2,Dartmouth,South West,139,£350k-£650k,,,Less than £350k,Region,Overall individual Rank,,,,
3,28,25,,Bradford on Avon BUA,Bradford on Avon,South West,28,18,511,51,772,£350k-£650k,18,,,,3,Tenby,Wales,17,£350k-£650k,,1,Caton,North West,4,,,,
102,29,-73,,Cromer BUASD,Cromer,East of England,29,58,783,169,162,£350k-£650k,19,,,,4,Brecon,Wales,66,less than £350k,,2,Kidwelly,Wales,5,,,,
213,30,-183,,Much Wenlock BUA,Much Wenlock,West Midlands,30,691,425,10,166,£350k-£650k,20,,,,5,Camden,Greater London,230,Over £650k,,3,Newport (Isle of Wight),South East,10,,,,
39,31,-8,,Ilkley BUA,Ilkley,Yorkshire and Humberside,31,52,795,177,170,£350k-£650k,21,,,,6,Rye,South East,16,£350k-£650k,,4,Colne,North West,13,,,,
22,32,10,,Arundel BUA,Arundel,South East,32,5,384,3,1100,Over £650k,4,,,,7,Lewes,South East,21,Over £650k,,5,Lancaster,North West,20,,,,
26,33,7,,Hastings BUASD,Hastings,South East,33,135,312,141,577,£350k-£650k,22,,,,8,Faversham,South East,181,£350k-£650k,,6,Great Yarmouth,East of England,27,,,,
70,34,-36,,Truro BUASD,Truro,South West,34,149,707,222,65,£350k-£650k,23,,,,9,Kensington and Chelsea,Greater London,550,Over £650k,,7,Plymouth,South West,38,,,,
104,35,-69,,Henley-on-Thames BUA,Henley-on-Thames,South East,35,90,935,37,270,Over £650k,5,,,,10,Ilfracombe,South West,109,less than £350k,,8,Carlisle,North West,40,,,,
129,36,-93,,Marple BUA,Marple,North West,36,115,109,562,441,£350k-£650k,24,,,,,,,,,,9,Sowerby Bridge,Yorkshire and Humberside,41,,,,
5,37,32,,Canterbury BUASD,Canterbury,South East,37,166,953,94,69,£350k-£650k,25,,,,,,,,,,10,Porthmadog,Wales,42,,,,
121,38,-83,,Plymouth BUASD,Plymouth,South West,38,162,662,252,75,less than £350k,7,,,,,Going Green,Region,Overall individual Rank,Price Band,,,,,,,,,
110,39,-71,,Malton BUASD,Malton,Yorkshire and Humberside,39,151,1350,22,2,£350k-£650k,26,,,,1,Bagshot,South East,858,Over £650k,,,,,,,,,
103,40,-63,,Carlisle BUASD,Carlisle,North West,40,300,236,194,450,less than £350k,8,,,,2,Shaftesbury,South West,11,£350k-£650k,,,,,,,,,
91,41,-50,,Sowerby Bridge BUASD,Sowerby Bridge,Yorkshire and Humberside,41,429,444,101,215,less than £350k,9,,,,3,Huntingdon,East of England,662,£350k-£650k,,,,,,,,,
112,42,-70,,Porthmadog BUA,Porthmadog,Wales,42,83,207,150,909,less than £350k,10,,,,4,Princes Risborough,South East,106,Over £650k,,,,,,,,,
109,43,-66,,Kington BUA,Kington,West Midlands,43,362,527,26,389,less than £350k,11,,,,5,Chigwell,East of England,738,Over £650k,,,,,,,,,
382,44,-338,,Sutton Courtenay BUASD,Sutton Courtenay,South East,44,537,294,118,354,£350k-£650k,27,,,,6,Hatfield,East of England,673,£350k-£650k,,,,,,,,,
67,45,-22,,Sevenoaks BUASD,Sevenoaks,South East,45,165,699,203,120,Over £650k,6,,,,7,Ashbourne,East Midlands,49,£350k-£650k,,,,,,,,,
84,46,-38,,Barmouth BUA,Barmouth,Wales,46,60,274,161,878,less than £350k,12,,,,8,Bury St Edmunds,East of England,183,£350k-£650k,,,,,,,,,
45,47,2,,Cardigan BUASD,Cardigan,Wales,47,208,158,63,993,less than £350k,13,,,,9,Wallingford,South East,12,£350k-£650k,,,,,,,,,
100,48,-52,,Bovey Tracey BUA,Bovey Tracey,South West,48,51,797,186,302,£350k-£650k,28,,,,10,Horley,South East,491,£350k-£650k,,,,,,,,,
189,49,-140,,Ashbourne BUA,Ashbourne,East Midlands,49,712,931,68,8,£350k-£650k,29,,,,,,,,,,,,,,,,,
218,50,-168,,Hythe BUASD,Hythe,South East,50,4,1253,282,17,£350k-£650k,30,,,,,,,,,,,,,,,,,
132,51,-81,,Ross-on-Wye BUA,Ross-on-Wye,West Midlands,51,200,682,120,262,£350k-£650k,31,,,,,,,,,,,,,,,,,
31,52,21,,Dorchester (West Dorset) BUA,Dorchester (West Dorset),South West,52,72,1095,102,148,£350k-£650k,32,,,,,,,,,,,,,,,,,
18,53,35,,Bridport BUA,Bridport,South West,53,30,913,40,591,£350k-£650k,33,,,,,,,,,,,,,,,,,
313,54,-259,,Sunderland BUASD,Sunderland,North East,54,300,223,387,306,less than £350k,14,,,,,,,,,,,,,,,,,
341,55,-286,,Saltash BUA,Saltash,South West,55,118,304,482,359,less than £350k,15,,,,,,,,,,,,,,,,,
58,55,-3,,Ipswich BUASD,Ipswich,East of England,55,150,452,370,237,£350k-£650k,34,,,,,,,,,,,,,,,,,
234,57,-177,,Cheltenham BUA,Cheltenham,South West,57,446,594,100,140,£350k-£650k,35,,,,,,,,,,,,,,,,,
54,58,4,,Llandudno BUA,Llandudno,Wales,58,73,231,217,881,less than £350k,16,,,,,,,,,,,,,,,,,
258,59,-199,,Gunnislake BUASD,Gunnislake,South West,59,33,727,331,288,£350k-£650k,36,,,,,,,,,,,,,,,,,
140,60,-80,,Stratford-upon-Avon BUA,Stratford-upon-Avon,West Midlands,60,286,783,238,41,£350k-£650k,37,,,,,,,,,,,,,,,,,
133,61,-72,,Farnham BUASD,Farnham,South East,61,141,1014,108,152,Over £650k,7,,,,,,,,,,,,,,,,,
30,61,31,,Abergavenny BUASD,Abergavenny,Wales,61,226,949,57,196,£350k-£650k,38,,,,,,,,,,,,,,,,,
108,63,-45,,Sandwich BUA,Sandwich,South East,63,278,589,4,652,£350k-£650k,39,,,,,,,,,,,,,,,,,
208,64,-144,,Gloucester BUASD,Gloucester,South West,64,173,963,310,26,£350k-£650k,40,,,,,,,,,,,,,,,,,
184,65,-119,,Skipton BUA,Skipton,Yorkshire and Humberside,65,75,1151,110,138,£350k-£650k,41,,,,,,,,,,,,,,,,,
40,66,26,,Brecon BUA,Brecon,Wales,66,3,718,7,1010,less than £350k,17,,,,,,,,,,,,,,,,,
24,67,43,,Fordingbridge BUASD,Fordingbridge,South East,67,16,656,256,567,£350k-£650k,42,,,,,,,,,,,,,,,,,
55,68,13,,West Malling BUA,West Malling,South East,68,711,368,16,467,Over £650k,8,,,,,,,,,,,,,,,,,
148,69,-79,,Blaenavon BUA,Blaenavon,Wales,69,721,51,99,891,less than £350k,18,,,,,,,,,,,,,,,,,
166,70,-96,,Burnley BUASD,Burnley,North West,70,171,226,277,711,less than £350k,19,,,,,,,,,,,,,,,,,
497,71,-426,,Glanaman BUA,Glanaman,Wales,71,2,200,796,555,less than £350k,20,,,,,,,,,,,,,,,,,
77,72,-5,,Trowbridge BUASD,Trowbridge,South West,72,435,501,232,135,£350k-£650k,43,,,,,,,,,,,,,,,,,
237,73,-164,,Church BUASD,Church,North West,73,199,56,581,742,less than £350k,21,,,,,,,,,,,,,,,,,
195,74,-121,,Halton BUA,Halton,North West,74,111,266,384,643,less than £350k,22,,,,,,,,,,,,,,,,,
94,75,-19,,Lostwithiel BUA,Lostwithiel,South West,75,100,1037,6,560,£350k-£650k,44,,,,,,,,,,,,,,,,,
16,76,60,,Marlborough BUASD,Marlborough,South West,76,14,1011,70,611,£350k-£650k,45,,,,,,,,,,,,,,,,,
43,77,34,,Bethesda BUASD,Bethesda,Wales,77,11,196,77,1279,less than £350k,23,,,,,,,,,,,,,,,,,
146,78,-68,,Brighton and Hove BUASD,Brighton and Hove,South East,78,175,742,67,516,Over £650k,9,,,,,,,,,,,,,,,,,
73,79,6,,Pwllheli BUA,Pwllheli,Wales,79,101,159,142,1140,less than £350k,24,,,,,,,,,,,,,,,,,
51,80,29,,Huddersfield BUASD,Huddersfield,Yorkshire and Humberside,80,249,606,94,509,less than £350k,25,,,,,,,,,,,,,,,,,
250,81,-169,,Denbigh BUA,Denbigh,Wales,81,869,321,19,475,less than £350k,26,,,,,,,,,,,,,,,,,
92,82,-10,,Ryde BUASD,Ryde,South East,82,128,389,197,725,£350k-£650k,46,,,,,,,,,,,,,,,,,
93,83,-10,,Chipping Norton BUA,Chipping Norton,South East,83,446,615,82,307,£350k-£650k,47,,,,,,,,,,,,,,,,,
729,84,-645,,Droylsden BUASD,Droylsden,North West,84,317,82,859,266,less than £350k,27,,,,,,,,,,,,,,,,,
353,85,-268,,Rawtenstall BUASD,Rawtenstall,North West,85,348,330,405,256,less than £350k,28,,,,,,,,,,,,,,,,,
75,86,11,,Rochester BUASD,Rochester,South East,86,133,540,252,539,£350k-£650k,48,,,,,,,,,,,,,,,,,
12,87,75,,Langport BUA,Langport,South West,87,573,556,75,367,£350k-£650k,49,,,,,,,,,,,,,,,,,
137,88,-49,,Tetbury BUA,Tetbury,South West,88,446,824,14,348,£350k-£650k,50,,,,,,,,,,,,,,,,,
153,89,-64,,Cockermouth BUA,Cockermouth,North West,89,79,642,77,823,less than £350k,29,,,,,,,,,,,,,,,,,
136,90,-46,,Seaton (East Devon) BUA,Seaton (East Devon),South West,90,45,690,386,400,£350k-£650k,51,,,,,,,,,,,,,,,,,
97,91,-6,,Norwich BUASD,Norwich,East of England,91,97,950,270,201,£350k-£650k,52,,,,,,,,,,,,,,,,,
61,92,31,,Northam BUASD,Northam,South West,92,56,1126,162,305,£350k-£650k,53,,,,,,,,,,,,,,,,,
288,92,-196,,Guisborough BUA,Guisborough,North East,92,446,198,467,369,less than £350k,30,,,,,,,,,,,,,,,,,
963,94,-869,,Bolsover BUA,Bolsover,East Midlands,94,1134,128,276,164,less than £350k,31,,,,,,,,,,,,,,,,,
235,95,-140,,Lechlade-on-Thames BUA,Lechlade-on-Thames,South West,95,127,602,152,693,£350k-£650k,54,,,,,,,,,,,,,,,,,
370,96,-274,,Cowes BUASD,Cowes,South East,96,37,1045,370,166,£350k-£650k,55,,,,,,,,,,,,,,,,,
444,97,-347,,Builth Wells BUA,Builth Wells,Wales,97,431,443,175,434,less than £350k,32,,,,,,,,,,,,,,,,,
377,98,-279,,Pontypridd BUASD,Pontypridd,Wales,98,397,368,236,465,less than £350k,33,,,,,,,,,,,,,,,,,
411,99,-312,,Carmarthen BUA,Carmarthen,Wales,99,838,492,42,344,less than £350k,34,,,,,,,,,,,,,,,,,
114,100,-14,,Pembroke Dock BUA,Pembroke Dock,Wales,100,240,512,93,747,less than £350k,35,,,,,,,,,,,,,,,,,
8,101,93,,Settle BUA,Settle,Yorkshire and Humberside,101,21,1325,25,383,£350k-£650k,56,,,,,,,,,,,,,,,,,
105,102,-3,,Chichester BUASD,Chichester,South East,102,315,1114,206,27,£350k-£650k,57,,,,,,,,,,,,,,,,,
27,103,76,,Conwy BUA,Conwy,Wales,103,82,309,46,1217,£350k-£650k,58,,,,,,,,,,,,,,,,,
188,104,-84,,Congresbury BUASD,Congresbury,South West,104,145,713,410,213,£350k-£650k,59,,,,,,,,,,,,,,,,,
126,105,-21,,Haverfordwest BUA,Haverfordwest,Wales,105,231,906,124,342,less than £350k,36,,,,,,,,,,,,,,,,,
331,106,-225,,Princes Risborough BUA,Princes Risborough,South East,106,446,952,403,5,Over £650k,10,,,,,,,,,,,,,,,,,
154,107,-47,,Richmond BUA,Richmond,Yorkshire and Humberside,107,134,622,45,900,less than £350k,37,,,,,,,,,,,,,,,,,
296,108,-188,,Dover BUA,Dover,South East,108,233,327,240,740,£350k-£650k,60,,,,,,,,,,,,,,,,,
4,109,105,,Ilfracombe BUA,Ilfracombe,South West,109,62,436,36,1200,less than £350k,38,,,,,,,,,,,,,,,,,
89,110,21,,Blandford Forum BUA,Blandford Forum,South West,110,88,1275,108,193,£350k-£650k,61,,,,,,,,,,,,,,,,,
87,111,24,,Shanklin BUASD,Shanklin,South East,111,138,413,515,478,£350k-£650k,62,,,,,,,,,,,,,,,,,
74,112,38,,Emsworth BUA,Emsworth,South East,112,95,739,409,323,£350k-£650k,63,,,,,,,,,,,,,,,,,
32,113,81,,Long Melford BUA,Long Melford,East of England,113,278,171,176,1042,£350k-£650k,64,,,,,,,,,,,,,,,,,
56,114,58,,Llanrwst BUA,Llanrwst,Wales,114,107,307,44,1231,less than £350k,39,,,,,,,,,,,,,,,,,
254,115,-139,,Chatham BUASD,Chatham,South East,115,224,213,541,638,£350k-£650k,65,,,,,,,,,,,,,,,,,
227,116,-111,,Ramsgate BUASD,Ramsgate,South East,116,877,129,54,894,£350k-£650k,66,,,,,,,,,,,,,,,,,
95,117,22,,Worcester BUASD,Worcester,West Midlands,117,345,813,197,230,£350k-£650k,67,,,,,,,,,,,,,,,,,
162,118,-44,,Weston BUASD,Weston,South West,118,365,549,331,266,£350k-£650k,68,,,,,,,,,,,,,,,,,
47,119,72,,Haworth BUASD,Haworth,Yorkshire and Humberside,119,632,397,92,595,less than £350k,40,,,,,,,,,,,,,,,,,
294,120,-174,,Lowestoft BUA,Lowestoft,East of England,120,103,459,463,574,less than £350k,41,,,,,,,,,,,,,,,,,
71,121,50,,Loddon BUA,Loddon,East of England,121,67,664,154,840,£350k-£650k,69,,,,,,,,,,,,,,,,,
434,122,-312,,Guildford,Guildford,South East,122,104,1165,347,69,Over £650k,11,,,,,,,,,,,,,,,,,
149,123,-26,,Ashford (Ashford) BUASD,Ashford (Ashford),South East,123,203,881,560,34,£350k-£650k,70,,,,,,,,,,,,,,,,,
241,124,-117,,Sandown BUASD,Sandown,South East,124,174,308,857,223,£350k-£650k,71,,,,,,,,,,,,,,,,,
72,125,53,,Wells BUASD,Wells,South West,125,446,960,39,316,£350k-£650k,72,,,,,,,,,,,,,,,,,
367,126,-241,,Blackburn BUASD,Blackburn,North West,126,226,165,749,505,less than £350k,42,,,,,,,,,,,,,,,,,
200,127,-73,,Ditton BUASD,Ditton,South East,127,305,725,391,123,£350k-£650k,73,,,,,,,,,,,,,,,,,
327,128,-199,,Dewsbury BUASD,Dewsbury,Yorkshire and Humberside,128,652,549,377,68,less than £350k,43,,,,,,,,,,,,,,,,,
152,129,-23,,Merthyr Tydfil BUA,Merthyr Tydfil,Wales,129,54,389,426,807,less than £350k,44,,,,,,,,,,,,,,,,,
520,130,-390,,Burgh le Marsh BUA,Burgh le Marsh,East Midlands,130,810,423,219,248,less than £350k,45,,,,,,,,,,,,,,,,,
439,131,-308,,Ilminster BUA,Ilminster,South West,131,921,647,81,169,£350k-£650k,74,,,,,,,,,,,,,,,,,
318,132,-186,,Bromyard BUA,Bromyard,West Midlands,132,962,1156,60,9,less than £350k,46,,,,,,,,,,,,,,,,,
832,133,-699,,Accrington BUASD,Accrington,North West,133,895,64,589,375,less than £350k,47,,,,,,,,,,,,,,,,,
151,134,-17,,Maidstone BUA,Maidstone,South East,134,124,1030,418,113,£350k-£650k,75,,,,,,,,,,,,,,,,,
287,134,-153,,Marlow BUASD,Marlow,South East,134,179,1111,336,78,Over £650k,12,,,,,,,,,,,,,,,,,
63,136,73,,Evesham BUA,Evesham,West Midlands,136,262,405,311,630,£350k-£650k,76,,,,,,,,,,,,,,,,,
65,137,72,,Ripon BUA,Ripon,Yorkshire and Humberside,137,113,1314,111,140,£350k-£650k,77,,,,,,,,,,,,,,,,,
281,138,-143,,Midhurst BUASD,Midhurst,South East,138,191,579,275,586,£350k-£650k,78,,,,,,,,,,,,,,,,,
66,139,73,,Dartmouth BUASD,Dartmouth,South West,139,25,841,2,1172,£350k-£650k,79,,,,,,,,,,,,,,,,,
161,140,-21,,Hungerford BUA,Hungerford,South East,140,28,983,381,418,£350k-£650k,80,,,,,,,,,,,,,,,,,
217,140,-77,,Lingfield,Lingfield,South East,140,759,179,191,700,£350k-£650k,81,,,,,,,,,,,,,,,,,
43,142,99,,Alnwick BUA,Alnwick,North East,142,599,490,41,719,less than £350k,48,,,,,,,,,,,,,,,,,
124,143,19,,Halifax BUASD,Halifax,Yorkshire and Humberside,143,648,401,160,513,less than £350k,49,,,,,,,,,,,,,,,,,
981,144,-837,,Southwick BUASD,Southwick,South East,144,61,113,1086,562,£350k-£650k,82,,,,,,,,,,,,,,,,,
168,145,-23,,New Mills BUASD,New Mills,East Midlands,145,116,541,367,640,£350k-£650k,83,,,,,,,,,,,,,,,,,
387,146,-241,,Wheathampstead BUA,Wheathampstead,East of England,146,340,197,346,809,Over £650k,13,,,,,,,,,,,,,,,,,
430,147,-283,,Wickham Market BUA,Wickham Market,East of England,147,197,647,196,659,£350k-£650k,84,,,,,,,,,,,,,,,,,
169,148,-21,,Welshpool BUASD,Welshpool,Wales,148,251,705,87,728,less than £350k,50,,,,,,,,,,,,,,,,,
186,149,-37,,Watchet BUA,Watchet,South West,149,180,174,356,1016,less than £350k,51,,,,,,,,,,,,,,,,,
228,150,-78,,Sheerness BUA,Sheerness,South East,150,406,382,191,700,less than £350k,52,,,,,,,,,,,,,,,,,
278,151,-127,,Newport BUASD,Newport,Wales,151,376,737,516,53,less than £350k,53,,,,,,,,,,,,,,,,,
85,152,67,,Oxted BUA,Oxted,South East,152,252,866,308,240,Over £650k,14,,,,,,,,,,,,,,,,,
239,153,-86,,Elland BUA,Elland,Yorkshire and Humberside,153,543,773,201,238,less than £350k,54,,,,,,,,,,,,,,,,,
473,154,-319,,Lane End BUASD,Lane End,South East,154,446,68,575,773,£350k-£650k,85,,,,,,,,,,,,,,,,,
623,155,-468,,North Walsham BUA,North Walsham,East of England,155,827,564,395,39,£350k-£650k,86,,,,,,,,,,,,,,,,,
259,156,-103,,Chepstow BUASD,Chepstow,Wales,156,92,884,227,605,£350k-£650k,87,,,,,,,,,,,,,,,,,
247,157,-90,,Haltwhistle BUA,Haltwhistle,North East,157,136,1086,122,498,less than £350k,55,,,,,,,,,,,,,,,,,
204,158,-46,,Shefford BUASD,Shefford,East of England,158,259,557,601,208,£350k-£650k,88,,,,,,,,,,,,,,,,,
510,159,-351,,Elstead BUA,Elstead,South East,159,151,409,612,497,Over £650k,15,,,,,,,,,,,,,,,,,
230,160,-70,,Keighley BUASD,Keighley,Yorkshire and Humberside,160,283,424,272,711,less than £350k,56,,,,,,,,,,,,,,,,,
173,161,-12,,Bridlington BUASD,Bridlington,Yorkshire and Humberside,161,116,372,333,921,less than £350k,57,,,,,,,,,,,,,,,,,
387,162,-225,,Whitehaven BUASD,Whitehaven,North West,162,375,562,299,426,less than £350k,58,,,,,,,,,,,,,,,,,
120,163,43,,Holyhead BUA,Holyhead,Wales,163,49,257,415,1108,less than £350k,59,,,,,,,,,,,,,,,,,
309,164,-145,,Risca BUASD,Risca,Wales,164,263,78,485,1072,less than £350k,60,,,,,,,,,,,,,,,,,
7,165,158,,St Ives (Cornwall) BUA,St Ives (Cornwall),South West,165,44,1188,85,672,Over £650k,16,,,,,,,,,,,,,,,,,
117,166,49,,Woodstock (West Oxfordshire) BUA,Woodstock (West Oxfordshire),South East,166,196,1260,62,300,Over £650k,17,,,,,,,,,,,,,,,,,
544,166,-378,,Alford BUA,Alford,East Midlands,166,739,360,49,788,less than £350k,61,,,,,,,,,,,,,,,,,
464,168,-296,,Chesterfield BUASD,Chesterfield,East Midlands,168,418,432,595,187,less than £350k,62,,,,,,,,,,,,,,,,,
914,169,-745,,Chadderton BUASD,Chadderton,North West,169,553,202,1065,46,less than £350k,63,,,,,,,,,,,,,,,,,
722,170,-552,,Ammanford BUASD,Ammanford,Wales,170,113,344,1031,220,less than £350k,64,,,,,,,,,,,,,,,,,
369,171,-198,,Esher,Esher,South East,171,295,804,413,153,Over £650k,18,,,,,,,,,,,,,,,,,
321,172,-149,,Bedford BUASD,Bedford,East of England,172,758,488,437,83,£350k-£650k,89,,,,,,,,,,,,,,,,,
485,173,-312,,West Rainton BUA,West Rainton,North East,173,1045,2,795,861,less than £350k,65,,,,,,,,,,,,,,,,,
215,174,-41,,Swansea BUASD,Swansea,Wales,174,99,849,368,453,less than £350k,66,,,,,,,,,,,,,,,,,
181,175,-6,,Oxford BUASD,Oxford,South East,175,361,1175,179,87,Over £650k,19,,,,,,,,,,,,,,,,,
307,176,-131,,Mickletown BUA,Mickletown,Yorkshire and Humberside,176,1012,4,510,1099,less than £350k,67,,,,,,,,,,,,,,,,,
248,177,-71,,Aberdare BUASD,Aberdare,Wales,177,195,233,520,827,less than £350k,68,,,,,,,,,,,,,,,,,
25,178,153,,Scarborough BUA,Scarborough,Yorkshire and Humberside,178,192,684,102,866,less than £350k,69,,,,,,,,,,,,,,,,,
124,179,55,,Langley Park BUA,Langley Park,North East,179,337,5,885,1180,less than £350k,70,,,,,,,,,,,,,,,,,
816,180,-636,,Chipping Sodbury BUASD,Chipping Sodbury,South West,180,719,139,279,793,£350k-£650k,90,,,,,,,,,,,,,,,,,
11,181,170,,Faversham BUA,Faversham,South East,181,205,1070,17,730,£350k-£650k,91,,,,,,,,,,,,,,,,,
323,182,-141,,Shipley BUASD,Shipley,Yorkshire and Humberside,182,312,688,379,329,less than £350k,71,,,,,,,,,,,,,,,,,
408,183,-225,,Bury St Edmunds BUASD,Bury St Edmunds,East of England,183,1103,929,185,10,£350k-£650k,92,,,,,,,,,,,,,,,,,
212,184,-28,,Petworth BUA,Petworth,South East,184,446,1046,9,525,£350k-£650k,93,,,,,,,,,,,,,,,,,
292,185,-107,,Darlington BUA,Darlington,North East,185,865,74,593,512,less than £350k,72,,,,,,,,,,,,,,,,,
64,186,122,,Great Malvern BUA,Great Malvern,West Midlands,186,446,925,135,328,£350k-£650k,94,,,,,,,,,,,,,,,,,
646,187,-459,,Hartlepool BUASD,Hartlepool,North East,187,307,131,777,628,less than £350k,73,,,,,,,,,,,,,,,,,
295,188,-107,,Rochdale BUASD,Rochdale,North West,188,394,270,436,662,less than £350k,74,,,,,,,,,,,,,,,,,
402,189,-213,,Milford Haven BUA,Milford Haven,Wales,189,273,447,354,655,less than £350k,75,,,,,,,,,,,,,,,,,
899,190,-709,,South Shields BUASD,South Shields,North East,190,742,71,810,377,less than £350k,76,,,,,,,,,,,,,,,,,
249,191,-58,,East Peckham BUA,East Peckham,South East,191,371,571,234,587,£350k-£650k,95,,,,,,,,,,,,,,,,,
167,192,25,,Reading BUASD,Reading,South East,192,98,1209,431,85,£350k-£650k,96,,,,,,,,,,,,,,,,,
398,193,-205,,Hurstpierpoint BUA,Hurstpierpoint,South East,193,446,498,625,131,Over £650k,20,,,,,,,,,,,,,,,,,
226,194,-32,,Penmaenmawr BUA,Penmaenmawr,Wales,194,106,105,406,1252,less than £350k,77,,,,,,,,,,,,,,,,,
